Model,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.9928392409595417,0.9947577750675579,0.9928392409595417,0.9928365488856589,0.9927201818070197,0.9533741163743993,0.9540439124600743,20.678593397140503
Gradient Boosting Classifier,0.8839957035445757,0.9206866582388835,0.8839957035445757,0.9470386420084874,0.8957607786153984,0.43314810603996323,0.4556367814293395,22.382047653198242
Support Vector Classifier,0.9727891156462585,0.9815508586607202,0.9727891156462585,0.9763229614420403,0.9730470468062788,0.8289989553507611,0.8297869135606631,206.90363335609436
